region,council,mc_name,declaration
Вінницька область,Барська міська громада,Брова Ніла Степанівна,https://public.nazk.gov.ua/declaration/1e8533a1-b0ec-4f7f-b9ba-cb517d3ef24f
Вінницька область,Барська міська громада,Гуменюк Ірина Віталіївна,https://public.nazk.gov.ua/declaration/111c2b08-d5da-4ce0-a6cc-243e932541cb
Вінницька область,Барська міська громада,Кальман Олексій Васильович,https://public.nazk.gov.ua/declaration/2ad6aebe-1228-40bd-a2e9-624fc973cec1
Вінницька область,Барська міська громада,Лук Геннадій Ілліч,https://public.nazk.gov.ua/declaration/dca3b940-dbbb-433d-bc6c-0431e26dd74e
Вінницька область,Барська міська громада,Мандра Віктор Васильович,https://public.nazk.gov.ua/declaration/0219df7f-d4de-441c-b9fa-0b0d3711df84
Вінницька область,Барська міська громада,Маршук Михайло Костянтинович,https://public.nazk.gov.ua/declaration/a99b64c9-894d-4142-992c-249083023528
Вінницька область,Барська міська громада,Медвецький Аркадій Аркадійович,https://public.nazk.gov.ua/declaration/7e37e151-30b7-4227-8826-c580850138e8
Вінницька область,Барська міська громада,Мельник Неля Володимирівна,https://public.nazk.gov.ua/declaration/7136052e-4953-4e95-b6fb-f58fd48b40b1
Вінницька область,Барська міська громада,Трачук Віктор Олександрович,https://public.nazk.gov.ua/declaration/ff9e8612-8cd3-4ad7-85f8-9cc58526477c
Вінницька область,Барська районна рада,Бухтяк Сергій Миколайович,https://public.nazk.gov.ua/declaration/858e4b5d-bc8f-414d-a2f4-d84154c273f0
Вінницька область,Барська районна рада,Вороніна Зінаїда Тимофіївна,https://public.nazk.gov.ua/declaration/4f42a5b7-c096-4f9c-98f1-69cb51a73257
Вінницька область,Барська районна рада,Кучерявий Марцін Антонович,https://public.nazk.gov.ua/declaration/fa9fcaac-1816-4049-8181-cd9f70a048a9
Вінницька область,Барська районна рада,Лук Ілля Григорович,https://public.nazk.gov.ua/declaration/a1a22a02-78f4-4e6b-9c96-2b120368bb4c
Вінницька область,Бершадська міська рада,Гресько Тетяна Миколаївна,https://public.nazk.gov.ua/declaration/16e6f4fa-748e-4c48-8a74-69ba1d334b20
Вінницька область,Бершадська міська рада,Зарецький Олександр Костянтинович,https://public.nazk.gov.ua/declaration/49b3ebef-3501-455d-b8da-131e4e58856a
Вінницька область,Бершадська міська рада,Максимчук Сергій Іванович,https://public.nazk.gov.ua/declaration/76340ad6-eecc-4a1a-82ce-fed8db0eda4e
Вінницька область,Бершадська міська рада,Москаленко Володимир Олександрович,https://public.nazk.gov.ua/declaration/a0a5136b-522b-4aa1-9904-fb83582f181a
Вінницька область,Бершадська міська рада,Рудь Юрій Сергійович,https://public.nazk.gov.ua/declaration/2a422c30-62a0-44b8-88e9-d7a7465c21ff
Вінницька область,Бершадська міська рада,Тарковський Олександр Григорович,https://public.nazk.gov.ua/declaration/ba0d9b41-4b9b-4e99-811b-c34ef07c1f20
Вінницька область,Бершадська міська рада,Ткачук Андрій Олексійович,https://public.nazk.gov.ua/declaration/ca8e4956-d6e0-4948-8770-6705303bc48b
Вінницька область,Бершадська міська рада,Чернишов Євгеній Володимирович,https://public.nazk.gov.ua/declaration/32aed666-41c6-484c-9807-c6faef23eb2f
Вінницька область,Бершадська районна рада,Брикуля Лілія Іванівна,https://public.nazk.gov.ua/declaration/e78f7454-5138-4a0e-b1e7-e6b87c143b74
Вінницька область,Бершадська районна рада,Бурлака Михайло Григорович,https://public.nazk.gov.ua/declaration/843b8d5a-a863-4415-a891-27044914ac87
Вінницька область,Бершадська районна рада,Козоріз Анатолій Миколайович,https://public.nazk.gov.ua/declaration/ac1a75e8-8290-44cf-9fdd-52368db2c4d0
Вінницька область,Бершадська районна рада,Крук Людмила Михайлівна,https://public.nazk.gov.ua/declaration/c951c7f1-09d1-4b03-bd09-0f126b2dd030
Вінницька область,Бершадська районна рада,Пересунько Сергій Васильович,https://public.nazk.gov.ua/declaration/4e1eb320-1816-4684-9eeb-02f0cad1429b
Вінницька область,Бершадська районна рада,Підлубний Анатолій Адамович,https://public.nazk.gov.ua/declaration/809d5d50-36b3-4d30-a543-0c5c3b83db6f
Вінницька область,Бершадська районна рада,Романенко Анатолій Анатолійович,https://public.nazk.gov.ua/declaration/bfe0a3f9-a095-49b7-aefe-ed93dc17fe0f
